id,tx_line_length,voltage,state,region,owner,lon,lat
200050,151266.32190980716,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-120.4454473080483,45.93811243312949
200080,183572.18599233727,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-120.92174591597549,47.15800197424885
200103,66719.67631128902,500.0,Idaho,NW,BONNEVILLE POWER ADMINISTRATION,-116.6346918789942,46.53577159169132
200090,228485.51952710692,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-119.5796261475923,46.70139485722457
200104,198835.59451236762,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-119.0183346742417,47.96046540207956
200019,41170.84844317422,500.0,Oregon,NW,BONNEVILLE POWER ADMINISTRATION,-120.9718219831608,44.35135324180704
200111,524377.6925083214,500.0,Montana,NW,BONNEVILLE POWER ADMINISTRATION,-110.19976604080229,46.30595831420793
200079,183538.31540525676,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-120.993744975106,47.16069588895344
200089,56513.168120249415,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-119.9136865213418,46.827217735739524
200066,24657.609023580586,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-121.96526133427471,47.33828216824999
200031,42545.806170847456,500.0,Oregon,NW,BONNEVILLE POWER ADMINISTRATION,-122.8187092688905,45.365946249819224
200076,291097.35857738234,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-121.1848975490925,47.7131839296981
200005,130918.37966296125,500.0,Oregon,NW,BONNEVILLE POWER ADMINISTRATION,-121.1839385553058,42.55030135818008
200092,14119.35187147935,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-118.87456877317659,46.23406383390954
200045,163740.9160214075,500.0,Oregon,NW,BONNEVILLE POWER ADMINISTRATION,-121.1715513786293,45.57654684388635
200082,145032.38758701505,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-120.2943709073196,47.015494810991456
200051,64965.47710905745,500.0,Oregon,NW,BONNEVILLE POWER ADMINISTRATION,-119.74796410320509,45.83140564125949
200071,55478.60588498377,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-121.85362210729441,47.586781146770534
200107,128436.56794235346,500.0,Montana,NW,BONNEVILLE POWER ADMINISTRATION,-114.74816745543221,47.522444966143176
200080,183572.18599233727,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-121.4219116174464,47.24082384826782
200032,98112.80896519481,500.0,Oregon,NW,BONNEVILLE POWER ADMINISTRATION,-122.9155734588285,45.563145320885994
200087,107900.32483483976,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-119.97131281440409,47.743094291739
200088,76736.14756792151,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-119.0203520702826,47.96640232402463
200113,260695.51495566173,500.0,Montana,NW,NORTHWESTERN ENERGY LLC - (MT),-107.155407442097,45.95712494378775
200032,98112.80896519481,500.0,Oregon,NW,BONNEVILLE POWER ADMINISTRATION,-123.0675246533539,45.920220722771795
200110,524355.087552368,500.0,Montana,NW,BONNEVILLE POWER ADMINISTRATION,-112.0604638388605,46.29744433576603
200076,291097.35857738234,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-121.47832281242451,47.77273323123064
200024,126107.38907947633,500.0,Oregon,NW,PACIFICORP,-122.60864781574008,42.27786007977848
200083,91354.05551047537,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-120.1655182122723,47.40761041123818
200104,198835.59451236762,500.0,Washington,NW,BONNEVILLE POWER ADMINISTRATION,-118.6038938250136,47.80643884009316
